"Notes"	"Year"	"Year Code"	"Race"	"Race Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"2016"	"2016"	"American Indian or Alaska Native"	"1002-5"	"Texas"	"48"	0	313507	Unreliable
	"2016"	"2016"	"American Indian or Alaska Native"	"1002-5"	"West Virginia"	"54"	0	4685	Unreliable
	"2016"	"2016"	"Asian or Pacific Islander"	"A-PI"	"Georgia"	"13"	Suppressed	456404	Suppressed
	"2016"	"2016"	"Asian or Pacific Islander"	"A-PI"	"New York"	"36"	Suppressed	1844346	Suppressed
	"2016"	"2016"	"Asian or Pacific Islander"	"A-PI"	"Texas"	"48"	Suppressed	1467555	Suppressed
	"2016"	"2016"	"Asian or Pacific Islander"	"A-PI"	"West Virginia"	"54"	0	17463	Unreliable
	"2016"	"2016"	"Black or African American"	"2054-5"	"Georgia"	"13"	41	3384642	1.21
	"2016"	"2016"	"Black or African American"	"2054-5"	"New York"	"36"	22	3667316	0.60
	"2016"	"2016"	"Black or African American"	"2054-5"	"Texas"	"48"	49	3634085	1.35
	"2016"	"2016"	"Black or African American"	"2054-5"	"West Virginia"	"54"	0	75405	Unreliable
	"2016"	"2016"	"White"	"2106-3"	"Georgia"	"13"	27	6410781	0.42
	"2016"	"2016"	"White"	"2106-3"	"New York"	"36"	38	14007968	0.27
	"2016"	"2016"	"White"	"2106-3"	"Texas"	"48"	100	22447449	0.45
	"2016"	"2016"	"White"	"2106-3"	"West Virginia"	"54"	Suppressed	1733549	Suppressed
	"2017"	"2017"	"American Indian or Alaska Native"	"1002-5"	"Georgia"	"13"	0	59961	Unreliable
	"2017"	"2017"	"American Indian or Alaska Native"	"1002-5"	"New York"	"36"	0	227929	Unreliable
	"2017"	"2017"	"American Indian or Alaska Native"	"1002-5"	"Texas"	"48"	0	318447	Unreliable
	"2017"	"2017"	"American Indian or Alaska Native"	"1002-5"	"West Virginia"	"54"	0	4640	Unreliable
	"2017"	"2017"	"Asian or Pacific Islander"	"A-PI"	"Georgia"	"13"	Suppressed	477375	Suppressed
	"2017"	"2017"	"Asian or Pacific Islander"	"A-PI"	"New York"	"36"	0	1902407	Unreliable
	"2017"	"2017"	"Asian or Pacific Islander"	"A-PI"	"Texas"	"48"	Suppressed	1540052	Suppressed
	"2017"	"2017"	"Asian or Pacific Islander"	"A-PI"	"West Virginia"	"54"	0	17127	Unreliable
	"2017"	"2017"	"Black or African American"	"2054-5"	"Georgia"	"13"	44	3447386	1.28
	"2017"	"2017"	"Black or African American"	"2054-5"	"New York"	"36"	23	3695842	0.62
	"2017"	"2017"	"Black or African American"	"2054-5"	"Texas"	"48"	44	3717259	1.18
	"2017"	"2017"	"Black or African American"	"2054-5"	"West Virginia"	"54"	0	74674	Unreliable
	"2017"	"2017"	"White"	"2106-3"	"Georgia"	"13"	26	6444657	0.40
	"2017"	"2017"	"White"	"2106-3"	"New York"	"36"	24	14023221	0.17
	"2017"	"2017"	"White"	"2106-3"	"Texas"	"48"	101	22728838	0.44
	"2017"	"2017"	"White"	"2106-3"	"West Virginia"	"54"	Suppressed	1719416	Suppressed
	"2018"	"2018"	"American Indian or Alaska Native"	"1002-5"	"Georgia"	"13"	0	61333	Unreliable
	"2018"	"2018"	"American Indian or Alaska Native"	"1002-5"	"New York"	"36"	0	224542	Unreliable
	"2018"	"2018"	"American Indian or Alaska Native"	"1002-5"	"Texas"	"48"	0	322926	Unreliable
	"2018"	"2018"	"American Indian or Alaska Native"	"1002-5"	"West Virginia"	"54"	0	4681	Unreliable
	"2018"	"2018"	"Asian or Pacific Islander"	"A-PI"	"Georgia"	"13"	Suppressed	491893	Suppressed
	"2018"	"2018"	"Asian or Pacific Islander"	"A-PI"	"New York"	"36"	Suppressed	1846015	Suppressed
	"2018"	"2018"	"Asian or Pacific Islander"	"A-PI"	"Texas"	"48"	Suppressed	1614008	Suppressed
	"2018"	"2018"	"Asian or Pacific Islander"	"A-PI"	"West Virginia"	"54"	0	17410	Unreliable
	"2018"	"2018"	"Black or African American"	"2054-5"	"Georgia"	"13"	35	3499496	1.00
	"2018"	"2018"	"Black or African American"	"2054-5"	"New York"	"36"	30	3634305	0.83
	"2018"	"2018"	"Black or African American"	"2054-5"	"Texas"	"48"	25	3803248	0.66
	"2018"	"2018"	"Black or African American"	"2054-5"	"West Virginia"	"54"	0	75210	Unreliable
	"2018"	"2018"	"White"	"2106-3"	"Georgia"	"13"	26	6466753	0.40
	"2018"	"2018"	"White"	"2106-3"	"New York"	"36"	32	13837347	0.23
	"2018"	"2018"	"White"	"2106-3"	"Texas"	"48"	67	22961663	0.29
	"2018"	"2018"	"White"	"2106-3"	"West Virginia"	"54"	10	1708531	Unreliable
	"2019"	"2019"	"American Indian or Alaska Native"	"1002-5"	"Georgia"	"13"	0	62594	Unreliable
	"2019"	"2019"	"American Indian or Alaska Native"	"1002-5"	"New York"	"36"	0	223855	Unreliable
	"2019"	"2019"	"American Indian or Alaska Native"	"1002-5"	"Texas"	"48"	0	327573	Unreliable
	"2019"	"2019"	"American Indian or Alaska Native"	"1002-5"	"West Virginia"	"54"	0	4751	Unreliable
	"2019"	"2019"	"Asian or Pacific Islander"	"A-PI"	"Georgia"	"13"	Suppressed	503548	Suppressed
	"2019"	"2019"	"Asian or Pacific Islander"	"A-PI"	"New York"	"36"	Suppressed	1850616	Suppressed
	"2019"	"2019"	"Asian or Pacific Islander"	"A-PI"	"Texas"	"48"	Suppressed	1642328	Suppressed
	"2019"	"2019"	"Asian or Pacific Islander"	"A-PI"	"West Virginia"	"54"	0	16858	Unreliable
	"2019"	"2019"	"Black or African American"	"2054-5"	"Georgia"	"13"	44	3549778	1.24
	"2019"	"2019"	"Black or African American"	"2054-5"	"New York"	"36"	35	3611420	0.97
	"2019"	"2019"	"Black or African American"	"2054-5"	"Texas"	"48"	22	3873093	0.57
	"2019"	"2019"	"Black or African American"	"2054-5"	"West Virginia"	"54"	Suppressed	74683	Suppressed
	"2019"	"2019"	"White"	"2106-3"	"Georgia"	"13"	18	6501503	Unreliable
	"2019"	"2019"	"White"	"2106-3"	"New York"	"36"	40	13767670	0.29
	"2019"	"2019"	"White"	"2106-3"	"Texas"	"48"	64	23152887	0.28
	"2019"	"2019"	"White"	"2106-3"	"West Virginia"	"54"	Suppressed	1695855	Suppressed
	"2020 "	"2020"	"American Indian or Alaska Native"	"1002-5"	"Georgia"	"13"	0	64282	Unreliable
	"2020 "	"2020"	"American Indian or Alaska Native"	"1002-5"	"New York"	"36"	0	230299	Unreliable
	"2020 "	"2020"	"American Indian or Alaska Native"	"1002-5"	"Texas"	"48"	0	340004	Unreliable
	"2020 "	"2020"	"American Indian or Alaska Native"	"1002-5"	"West Virginia"	"54"	0	4797	Unreliable
	"2020 "	"2020"	"Asian or Pacific Islander"	"A-PI"	"Georgia"	"13"	Suppressed	524915	Suppressed
	"2020 "	"2020"	"Asian or Pacific Islander"	"A-PI"	"New York"	"36"	Suppressed	1881911	Suppressed
	"2020 "	"2020"	"Asian or Pacific Islander"	"A-PI"	"Texas"	"48"	11	1721732	Unreliable
	"2020 "	"2020"	"Asian or Pacific Islander"	"A-PI"	"West Virginia"	"54"	0	17696	Unreliable
	"2020 "	"2020"	"Black or African American"	"2054-5"	"Georgia"	"13"	28	3606257	0.78
	"2020 "	"2020"	"Black or African American"	"2054-5"	"New York"	"36"	28	3604597	0.78
	"2020 "	"2020"	"Black or African American"	"2054-5"	"Texas"	"48"	38	3984144	0.95
	"2020 "	"2020"	"Black or African American"	"2054-5"	"West Virginia"	"54"	Suppressed	75782	Suppressed
	"2020 "	"2020"	"White"	"2106-3"	"Georgia"	"13"	19	6514563	Unreliable
	"2020 "	"2020"	"White"	"2106-3"	"New York"	"36"	39	13619969	0.29
	"2020 "	"2020"	"White"	"2106-3"	"Texas"	"48"	106	23314879	0.45
	"2020 "	"2020"	"White"	"2106-3"	"West Virginia"	"54"	Suppressed	1686512	Suppressed
"---"
"Dataset: Underlying Cause of Death, 1999-2020"
"Query Parameters:"
"Title: race_year_pregnancy_states"
"ICD-10 Codes: O00-O99 (Pregnancy, childbirth and the puerperium)"
"States: Georgia (13); New York (36); Texas (48); West Virginia (54)"
"Group By: Year; Race; State"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd.html for more information."
"---"
"Query Date: Sep 1, 2023 7:22:37 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10.html on Sep 1, 2023 7:22:37 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#2014-Revision."
"2. Circumstances in Georgia for the years 2008 and 2009 have resulted in unusually high death counts for the ICD-10 cause of"
"death code R99, ""Other ill-defined and unspecified causes of mortality."" Caution should be used in interpreting these data."
"More information: http://wonder.cdc.gov/wonder/help/ucd.html#Georgia-Reporting-Anomalies."
"3. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Assurance of Confidentiality."
"4. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Unreliable."
"5. Information included on the death certificate about the race and Hispanic ethnicity of the decedent is reported by the"
"funeral director as provided by an informant, often the surviving next of kin, or, in the absence of an informant, on the basis"
"of observation. Race and ethnicity information from the census is by self-report. To the extent that race and Hispanic origin"
"are inconsistent between these two data sources, death rates will be biased. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Racial Differences."
"6. The population figures for year 2020 are bridged-race estimates of the July 1 resident population, from the Vintage 2020"
"postcensal series released by NCHS on September 22, 2021. The population figures for year 2019 are bridged-race estimates of the"
"July 1 resident population, from the Vintage 2019 postcensal series released by NCHS on July 9, 2020. The population figures for"
"year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series released by NCHS"
"on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for year 2016 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS on June 26, 2017. The"
"population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the Vintage 2015 postcensal"
"series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race estimates of the July 1 resident"
"population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The population figures for year 2013 are"
"bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal series released by NCHS on June 26,"
"2014. The population figures for year 2012 are bridged-race estimates of the July 1 resident population, from the Vintage 2012"
"postcensal series released by NCHS on June 13, 2013. The population figures for year 2011 are bridged-race estimates of the July"
"1 resident population, from the Vintage 2011 postcensal series released by NCHS on July 18, 2012. Population figures for 2010"
"are April 1 Census counts. The population figures for years 2001 - 2009 are bridged-race estimates of the July 1 resident"
"population, from the revised intercensal county-level 2000 - 2009 series released by NCHS on October 26, 2012. Population"
"figures for 2000 are April 1 Census counts. Population figures for 1999 are from the 1990-1999 intercensal series of July 1"
"estimates. Population figures for the infant age groups are the number of live births. <br/><b>Note:</b> Rates and population"
"figures for years 2001 - 2009 differ slightly from previously published reports, due to use of the population estimates which"
"were available at the time of release."
"7. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/ucd.html#Age Group."
"8. Beginning with the 2018 data, changes have been implemented that affect the counts for ICD-10 cause of death codes O00-O99"
"compared to previous practice. In addition, data for the cause of death codes O00-O99 for 2003 through 2017 reflect differences"
"in information available to individual states and probable errors. Caution should be used in interpreting these data. More"
"information can be found at: https://www.cdc.gov/nchs/maternal-mortality/."
